Street,Street condition score,Group,Ward
LANDING LANE,22.64,Poor (<75),Holgate Ward
LAVENDER GROVE,45.09,Poor (<75),Holgate Ward
LINCOLN STREET,16.96,Poor (<75),Holgate Ward
LINDLEY STREET,34.82,Poor (<75),Holgate Ward
LINDSEY AVENUE,49.51,Poor (<75),Holgate Ward
LINTON STREET,6.15,Poor (<75),Holgate Ward
LIVINGSTONE STREET,78.65,Fair (75-89),Holgate Ward
LYNDEN WAY,68.68,Poor (<75),Holgate Ward
MALVERN AVENUE,48.41,Poor (<75),Holgate Ward
MANOR DRIVE NORTH,11.42,Poor (<75),Holgate Ward
MANOR DRIVE SOUTH,49.73,Poor (<75),Holgate Ward
MATTISON WAY,80.44,Fair (75-89),Holgate Ward
MILDRED GROVE,87.19,Fair (75-89),Holgate Ward
MONUMENT CLOSE,91.78,Good (90-94),Holgate Ward
MOORGATE,75.73,Fair (75-89),Holgate Ward
MURRAY STREET,26.40,Poor (<75),Holgate Ward
NEW LANE,81.88,Fair (75-89),Holgate Ward
NIGEL GROVE,73.73,Poor (<75),Holgate Ward
NORTHCOTE AVENUE,10.98,Poor (<75),Holgate Ward
NURSERY DRIVE,66.93,Poor (<75),Holgate Ward
OAK STREET,24.95,Poor (<75),Holgate Ward
PARK LANE,97.03,Excellent (95-100),Holgate Ward
PARKSIDE CLOSE,27.01,Poor (<75),Holgate Ward
PATELEY PLACE,51.24,Poor (<75),Holgate Ward
POPLAR STREET,90.79,Good (90-94),Holgate Ward
POPPLETON ROAD,81.95,Fair (75-89),Holgate Ward
PRIORY GREEN,69.94,Poor (<75),Holgate Ward
RAILWAY TERRACE,37.00,Poor (<75),Holgate Ward
REGENTS COURT,92.95,Good (90-94),Holgate Ward
RENSHAW GARDENS,87.21,Fair (75-89),Holgate Ward
ROBIN GROVE,82.38,Fair (75-89),Holgate Ward
ROSEBERY STREET,2.88,Poor (<75),Holgate Ward
SALISBURY ROAD,34.40,Poor (<75),Holgate Ward
SALISBURY TERRACE,50.72,Poor (<75),Holgate Ward
SANDACRE COURT,46.82,Poor (<75),Holgate Ward
SEGRAVE WALK,56.70,Poor (<75),Holgate Ward
SELDON ROAD,24.01,Poor (<75),Holgate Ward
SEVERUS AVENUE,84.66,Fair (75-89),Holgate Ward
SOWERBY ROAD,64.76,Poor (<75),Holgate Ward
SPRINGFIELD AVENUE,7.84,Poor (<75),Holgate Ward
ST BARNABAS CLOSE,84.08,Fair (75-89),Holgate Ward
ST JAMES COURT,76.76,Fair (75-89),Holgate Ward
ST PAULS MEWS,95.67,Excellent (95-100),Holgate Ward
ST PAULS SQUARE,96.38,Excellent (95-100),Holgate Ward
ST PAULS TERRACE,38.25,Poor (<75),Holgate Ward
ST SWITHINS WALK,73.74,Poor (<75),Holgate Ward
STAMFORD STREET EAST,73.81,Poor (<75),Holgate Ward
STAMFORD STREET WEST,21.92,Poor (<75),Holgate Ward
STEPHENSON WAY,74.98,Poor (<75),Holgate Ward
SWINERTON AVENUE,51.26,Poor (<75),Holgate Ward
THOMPSON PLACE,91.32,Good (90-94),Holgate Ward
TISBURY ROAD,96.88,Excellent (95-100),Holgate Ward
TREVOR GROVE,63.70,Poor (<75),Holgate Ward
UPPER HANOVER STREET,72.58,Poor (<75),Holgate Ward
UPPER ST PAULS TERRACE,11.06,Poor (<75),Holgate Ward
WALWORTH STREET NORTH,43.01,Poor (<75),Holgate Ward
WALWORTH STREET SOUTH,60.63,Poor (<75),Holgate Ward
WATER END,79.10,Fair (75-89),Holgate Ward
WATSON STREET,56.76,Poor (<75),Holgate Ward
WATSON TERRACE,86.09,Fair (75-89),Holgate Ward
WELLAND RISE,43.63,Poor (<75),Holgate Ward
WEST BANK,48.53,Poor (<75),Holgate Ward
WILTON RISE,15.51,Poor (<75),Holgate Ward
WINCHESTER AVENUE,85.34,Fair (75-89),Holgate Ward
WINDMILL RISE,92.24,Good (90-94),Holgate Ward
YARBURGH GROVE,65.40,Poor (<75),Holgate Ward
YORK ROAD,98.42,Excellent (95-100),Holgate Ward
ALCUIN AVENUE,83.69,Fair (75-89),Hull Road Ward
ALLEN CLOSE,24.07,Poor (<75),Hull Road Ward
AMBLESIDE AVENUE,34.36,Poor (<75),Hull Road Ward
BACK LANE FROM NUMBER 90 TO 100 HULL ROAD,60.94,Poor (<75),Hull Road Ward
BADGER WOOD WALK,92.38,Good (90-94),Hull Road Ward
BARSTOW AVENUE,86.24,Fair (75-89),Hull Road Ward
BEAUFORT CLOSE,74.29,Poor (<75),Hull Road Ward
BECKSIDE GARDENS,28.89,Poor (<75),Hull Road Ward
BISHOPS WAY,73.16,Poor (<75),Hull Road Ward
BRENTWOOD CRESCENT,97.20,Excellent (95-100),Hull Road Ward
BROUGHTON WAY,83.48,Fair (75-89),Hull Road Ward
BURLINGTON AVENUE,73.55,Poor (<75),Hull Road Ward
BURNISTON GROVE,67.45,Poor (<75),Hull Road Ward
CARLTON AVENUE,13.98,Poor (<75),Hull Road Ward
CHURCH LANE,83.42,Fair (75-89),Hull Road Ward
CONISTON DRIVE,19.72,Poor (<75),Hull Road Ward
CONSTANTINE AVENUE,61.32,Poor (<75),Hull Road Ward
CROSSWAYS,84.65,Fair (75-89),Hull Road Ward
CYCLE STREET,42.09,Poor (<75),Hull Road Ward
DERAMORE DRIVE,88.10,Fair (75-89),Hull Road Ward
DERAMORE DRIVE,65.38,Poor (<75),Hull Road Ward
DERAMORE DRIVE WEST,31.43,Poor (<75),Hull Road Ward
EASTFIELD COURT,46.17,Poor (<75),Hull Road Ward
EASTFIELD CRESCENT,24.75,Poor (<75),Hull Road Ward
ELWICK GROVE,83.35,Fair (75-89),Hull Road Ward
ETTY AVENUE,67.82,Poor (<75),Hull Road Ward
FERNWAY,75.46,Fair (75-89),Hull Road Ward
FIELD LANE,79.75,Fair (75-89),Hull Road Ward
FLAXMAN AVENUE,46.81,Poor (<75),Hull Road Ward
FOOTPATH FROM HULL ROAD TO END OF LOW MILL CLOSE,100.00,Excellent (95-100),Hull Road Ward
FOXTHORN PADDOCK,2.93,Poor (<75),Hull Road Ward
GARROW HILL AVENUE,79.42,Fair (75-89),Hull Road Ward
GRASMERE DRIVE,100.00,Excellent (95-100),Hull Road Ward
GREEN DYKES LANE,71.86,Poor (<75),Hull Road Ward
HADRIAN AVENUE,68.47,Poor (<75),Hull Road Ward
HARINGTON AVENUE,52.98,Poor (<75),Hull Road Ward
HESKETH BANK,67.54,Poor (<75),Hull Road Ward
HESLINGTON LANE,88.21,Fair (75-89),Hull Road Ward
HEWLEY AVENUE,71.85,Poor (<75),Hull Road Ward
HULL ROAD,89.70,Fair (75-89),Hull Road Ward
HULL ROAD,87.59,Fair (75-89),Hull Road Ward
INGLEBOROUGH AVENUE,66.74,Poor (<75),Hull Road Ward
INNOVATION WAY,67.92,Poor (<75),Hull Road Ward
KIMBERLOW WOODS HILL,60.38,Poor (<75),Hull Road Ward
LAMEL STREET,80.14,Fair (75-89),Hull Road Ward
LANG AVENUE,56.50,Poor (<75),Hull Road Ward
LILAC AVENUE,57.71,Poor (<75),Hull Road Ward
LOW MILL CLOSE,81.01,Fair (75-89),Hull Road Ward
MAIN STREET,84.48,Fair (75-89),Hull Road Ward
MELROSEGATE,84.82,Fair (75-89),Hull Road Ward
MILLFIELD AVENUE,55.26,Poor (<75),Hull Road Ward
MILLFIELD LANE,59.63,Poor (<75),Hull Road Ward
MOORE AVENUE,35.51,Poor (<75),Hull Road Ward
NEWLAND PARK CLOSE,52.37,Poor (<75),Hull Road Ward
NEWLAND PARK DRIVE,8.12,Poor (<75),Hull Road Ward
NORMAN STREET,72.76,Poor (<75),Hull Road Ward
OSBALDWICK LANE,53.66,Poor (<75),Hull Road Ward
OSBALDWICK LINK ROAD,97.83,Excellent (95-100),Hull Road Ward
PINEWOOD HILL,34.51,Poor (<75),Hull Road Ward
QUANT MEWS,80.53,Fair (75-89),Hull Road Ward
RAWDON AVENUE,51.68,Poor (<75),Hull Road Ward
SADBERGE COURT,91.85,Good (90-94),Hull Road Ward
SAILS DRIVE,79.17,Fair (75-89),Hull Road Ward
SEATON CLOSE,84.11,Fair (75-89),Hull Road Ward
SIWARD STREET,12.82,Poor (<75),Hull Road Ward
ST HILDAS MEWS,73.70,Poor (<75),Hull Road Ward
SUSSEX CLOSE,64.65,Poor (<75),Hull Road Ward
SUSSEX ROAD,66.21,Poor (<75),Hull Road Ward
TANG HALL LANE,61.37,Poor (<75),Hull Road Ward
TEMPLE AVENUE,60.82,Poor (<75),Hull Road Ward
THIEF LANE,30.12,Poor (<75),Hull Road Ward
TRANBY AVENUE,100.00,Excellent (95-100),Hull Road Ward
TUKE AVENUE,88.37,Fair (75-89),Hull Road Ward
UNIVERSITY ROAD,83.78,Fair (75-89),Hull Road Ward
UNIVERSITY ROAD,51.20,Poor (<75),Hull Road Ward
VANBRUGH DRIVE,41.44,Poor (<75),Hull Road Ward
WAYNEFLEET GROVE,67.21,Poor (<75),Hull Road Ward
WELBORN CLOSE,97.35,Excellent (95-100),Hull Road Ward
WELBORN CLOSE,41.23,Poor (<75),Hull Road Ward
WHITTON PLACE,87.58,Fair (75-89),Hull Road Ward
WINDMILL LANE,82.38,Fair (75-89),Hull Road Ward
WINDMILL LANE,92.88,Good (90-94),Hull Road Ward
WOLVISTON AVENUE,86.70,Fair (75-89),Hull Road Ward
WOOLNOUGH AVENUE,83.05,Fair (75-89),Hull Road Ward
WYCLIFFE AVENUE,49.23,Poor (<75),Hull Road Ward
YARBURGH WAY,60.33,Poor (<75),Hull Road Ward
ABBOTS GAIT,69.07,Poor (<75),Huntington & New Earswick Ward
ACACIA AVENUE,1.63,Poor (<75),Huntington & New Earswick Ward
ALDER WAY,82.65,Fair (75-89),Huntington & New Earswick Ward
ALDERLEY COURT,92.79,Good (90-94),Huntington & New Earswick Ward
ALEXANDER AVENUE,91.80,Good (90-94),Huntington & New Earswick Ward
ALMOND GROVE,77.48,Fair (75-89),Huntington & New Earswick Ward
ANDREW DRIVE,80.52,Fair (75-89),Huntington & New Earswick Ward
ANTHEA DRIVE,90.95,Good (90-94),Huntington & New Earswick Ward
ANTHEA DRIVE TO WHENBY GROVE,80.38,Fair (75-89),Huntington & New Earswick Ward
AUCUBA CLOSE,83.42,Fair (75-89),Huntington & New Earswick Ward
AVON DRIVE,71.23,Poor (<75),Huntington & New Earswick Ward
AYLESHAM COURT,74.65,Poor (<75),Huntington & New Earswick Ward
BADGER PADDOCK,62.04,Poor (<75),Huntington & New Earswick Ward
BEAULIEU CLOSE,75.47,Fair (75-89),Huntington & New Earswick Ward
BEECH GLADE,73.07,Poor (<75),Huntington & New Earswick Ward
BEEFORTH CLOSE,87.02,Fair (75-89),Huntington & New Earswick Ward
BIRCH CLOSE,95.57,Excellent (95-100),Huntington & New Earswick Ward
BIRCH PARK,71.52,Poor (<75),Huntington & New Earswick Ward
BLACKTHORN DRIVE,77.42,Fair (75-89),Huntington & New Earswick Ward
BRACKEN CLOSE,17.92,Poor (<75),Huntington & New Earswick Ward
BRANDSBY GROVE,79.02,Fair (75-89),Huntington & New Earswick Ward
BRIAR DRIVE,66.70,Poor (<75),Huntington & New Earswick Ward
BROCKFIELD PARK DRIVE,64.64,Poor (<75),Huntington & New Earswick Ward
BROCKFIELD ROAD,63.32,Poor (<75),Huntington & New Earswick Ward
BROOME CLOSE,44.38,Poor (<75),Huntington & New Earswick Ward
BROOME ROAD,93.50,Good (90-94),Huntington & New Earswick Ward
BROOME WAY,86.79,Fair (75-89),Huntington & New Earswick Ward
BURN ESTATE,27.67,Poor (<75),Huntington & New Earswick Ward
CAMBRIAN CLOSE,76.28,Fair (75-89),Huntington & New Earswick Ward
CARRNOCK CLOSE,79.40,Fair (75-89),Huntington & New Earswick Ward
CHEVIOT CLOSE,50.69,Poor (<75),Huntington & New Earswick Ward
CHILTERN WAY,43.70,Poor (<75),Huntington & New Earswick Ward
CHURCH LANE,96.54,Excellent (95-100),Huntington & New Earswick Ward
CLEVELAND WAY,25.42,Poor (<75),Huntington & New Earswick Ward
CONIFER CLOSE,81.64,Fair (75-89),Huntington & New Earswick Ward
CONNAUGHT WAY,71.19,Poor (<75),Huntington & New Earswick Ward
COTSWOLD WAY,92.23,Good (90-94),Huntington & New Earswick Ward
CRINAN COURT,85.02,Fair (75-89),Huntington & New Earswick Ward
DARBIE CLOSE,96.08,Excellent (95-100),Huntington & New Earswick Ward
DARWIN CLOSE,94.96,Good (90-94),Huntington & New Earswick Ward
DERWENT WALK,0.00,Poor (<75),Huntington & New Earswick Ward
DISRAELI CLOSE,69.39,Poor (<75),Huntington & New Earswick Ward
DORIAM AVENUE,63.54,Poor (<75),Huntington & New Earswick Ward
DORIAM DRIVE,85.38,Fair (75-89),Huntington & New Earswick Ward
EAST WAY,72.34,Poor (<75),Huntington & New Earswick Ward
ELGAR CLOSE,92.68,Good (90-94),Huntington & New Earswick Ward
ELM GROVE,81.28,Fair (75-89),Huntington & New Earswick Ward
FERGUSON WAY,73.42,Poor (<75),Huntington & New Earswick Ward
FERN CLOSE,7.08,Poor (<75),Huntington & New Earswick Ward
FIRWOOD WHIN,85.29,Fair (75-89),Huntington & New Earswick Ward
FOOTPATH FROM END OF ANDREW DRIVE TO END OF FERGUSON WAY,83.08,Fair (75-89),Huntington & New Earswick Ward
FOREST WALK,85.67,Fair (75-89),Huntington & New Earswick Ward
FORGE CLOSE,83.02,Fair (75-89),Huntington & New Earswick Ward
FOX COVERT,65.84,Poor (<75),Huntington & New Earswick Ward
GARTH ROAD,28.14,Poor (<75),Huntington & New Earswick Ward
GARTHWAY,86.45,Fair (75-89),Huntington & New Earswick Ward
GELDOF ROAD,89.11,Fair (75-89),Huntington & New Earswick Ward
GORMIRE AVENUE,62.91,Poor (<75),Huntington & New Earswick Ward
GORSE PADDOCK,74.28,Poor (<75),Huntington & New Earswick Ward
GRAMPIAN CLOSE,11.73,Poor (<75),Huntington & New Earswick Ward
GREEN WAY,0.00,Poor (<75),Huntington & New Earswick Ward
GREENACRES,66.38,Poor (<75),Huntington & New Earswick Ward
HAMBLETON WAY,96.04,Excellent (95-100),Huntington & New Earswick Ward
HAWTHORN SPINNEY,89.82,Fair (75-89),Huntington & New Earswick Ward
HAWTHORN TERRACE CENTRAL,51.28,Poor (<75),Huntington & New Earswick Ward
HAWTHORN TERRACE NORTH,5.00,Poor (<75),Huntington & New Earswick Ward
HAWTHORN TERRACE SOUTH,82.63,Fair (75-89),Huntington & New Earswick Ward
HAXBY ROAD,82.44,Fair (75-89),Huntington & New Earswick Ward
HAZEL CLOSE,79.81,Fair (75-89),Huntington & New Earswick Ward
HAZELMERE COURT,99.94,Excellent (95-100),Huntington & New Earswick Ward
HEATHER CLOSE,0.00,Poor (<75),Huntington & New Earswick Ward
HEATHER CROFT,73.91,Poor (<75),Huntington & New Earswick Ward
HEMLOCK AVENUE,67.11,Poor (<75),Huntington & New Earswick Ward
HERON RISE,85.08,Fair (75-89),Huntington & New Earswick Ward
HIGHTHORN ROAD,49.39,Poor (<75),Huntington & New Earswick Ward
HOMESTEAD CLOSE,69.98,Poor (<75),Huntington & New Earswick Ward
HOPGROVE LANE SOUTH,95.41,Excellent (95-100),Huntington & New Earswick Ward
HUNTINGTON ROAD,81.82,Fair (75-89),Huntington & New Earswick Ward
IKIN WAY,15.64,Poor (<75),Huntington & New Earswick Ward
JASMINE CLOSE,75.14,Fair (75-89),Huntington & New Earswick Ward
JEDWELL CLOSE,84.90,Fair (75-89),Huntington & New Earswick Ward
JOCKEY LANE,81.14,Fair (75-89),Huntington & New Earswick Ward
JULIA AVENUE,32.26,Poor (<75),Huntington & New Earswick Ward
JUNIPER CLOSE,94.73,Good (90-94),Huntington & New Earswick Ward
KATHRYN AVENUE,63.11,Poor (<75),Huntington & New Earswick Ward
KEITH AVENUE,33.54,Poor (<75),Huntington & New Earswick Ward
KENDREW CLOSE,28.89,Poor (<75),Huntington & New Earswick Ward
KENLAY CLOSE,91.99,Good (90-94),Huntington & New Earswick Ward
KESTREL WOOD WAY,92.68,Good (90-94),Huntington & New Earswick Ward
KESWICK WAY,15.29,Poor (<75),Huntington & New Earswick Ward
KINGSCLERE,65.63,Poor (<75),Huntington & New Earswick Ward
LANG ROAD,44.61,Poor (<75),Huntington & New Earswick Ward
LANGLEY COURT,45.56,Poor (<75),Huntington & New Earswick Ward
LASENBY CLOSE,79.44,Fair (75-89),Huntington & New Earswick Ward
LEA FIELD COURT,97.89,Excellent (95-100),Huntington & New Earswick Ward
LEA WAY,66.03,Poor (<75),Huntington & New Earswick Ward
LIME TREE AVENUE,94.59,Good (90-94),Huntington & New Earswick Ward
LINDEN CLOSE,30.56,Poor (<75),Huntington & New Earswick Ward
LINK ROAD,91.89,Good (90-94),Huntington & New Earswick Ward
LUCOMBE WAY,85.42,Fair (75-89),Huntington & New Earswick Ward
MAGNOLIA GROVE,89.76,Fair (75-89),Huntington & New Earswick Ward
MALLORY CLOSE,82.26,Fair (75-89),Huntington & New Earswick Ward
MALTON ROAD,71.61,Poor (<75),Huntington & New Earswick Ward
MALVERN CLOSE,28.63,Poor (<75),Huntington & New Earswick Ward
MANLEY CLOSE,90.22,Good (90-94),Huntington & New Earswick Ward
MANOR COURT,72.85,Poor (<75),Huntington & New Earswick Ward
MARTELLO WAY,86.72,Fair (75-89),Huntington & New Earswick Ward
MAYTHORN ROAD,85.53,Fair (75-89),Huntington & New Earswick Ward
MEADOW WAY,50.64,Poor (<75),Huntington & New Earswick Ward
MENDIP CLOSE,1.52,Poor (<75),Huntington & New Earswick Ward
MERLIN COVERT,85.75,Fair (75-89),Huntington & New Earswick Ward
MILL HILL DRIVE,44.01,Poor (<75),Huntington & New Earswick Ward
MINSTER AVENUE,87.20,Fair (75-89),Huntington & New Earswick Ward
MOISER CLOSE,83.27,Fair (75-89),Huntington & New Earswick Ward
MONKS CROSS DRIVE,65.36,Poor (<75),Huntington & New Earswick Ward
MONKS CROSS LINK,88.29,Fair (75-89),Huntington & New Earswick Ward
MOOR WAY,16.94,Poor (<75),Huntington & New Earswick Ward
MULBERRY COURT,84.74,Fair (75-89),Huntington & New Earswick Ward
NEW LANE,57.39,Poor (<75),Huntington & New Earswick Ward
NIGHTINGALE CLOSE,82.73,Fair (75-89),Huntington & New Earswick Ward
NORTH LANE,87.09,Fair (75-89),Huntington & New Earswick Ward
NORTH MOOR,87.10,Fair (75-89),Huntington & New Earswick Ward
NORTH MOOR GARDENS,70.82,Poor (<75),Huntington & New Earswick Ward
NORTH MOOR ROAD,84.57,Fair (75-89),Huntington & New Earswick Ward
NORTH MOOR ROAD,89.00,Fair (75-89),Huntington & New Earswick Ward
OAK GLADE,89.90,Fair (75-89),Huntington & New Earswick Ward
OAK TREE GROVE,91.98,Good (90-94),Huntington & New Earswick Ward
ORCHARD GARDENS,42.40,Poor (<75),Huntington & New Earswick Ward
PEAR TREE CLOSE,82.66,Fair (75-89),Huntington & New Earswick Ward
PENNINE CLOSE,62.65,Poor (<75),Huntington & New Earswick Ward
PENTLAND DRIVE,80.57,Fair (75-89),Huntington & New Earswick Ward
PINEWOOD GROVE,91.12,Good (90-94),Huntington & New Earswick Ward
POLLARD CLOSE,50.82,Poor (<75),Huntington & New Earswick Ward
POPLAR GROVE,79.09,Fair (75-89),Huntington & New Earswick Ward
PRIORY WOOD WAY,87.76,Fair (75-89),Huntington & New Earswick Ward
REDTHORN DRIVE,77.18,Fair (75-89),Huntington & New Earswick Ward
RIVERSIDE CRESCENT,6.16,Poor (<75),Huntington & New Earswick Ward
ROAD A1237 FROM AND INCLUDING MALTON ROAD ROUNDABOUT TO THE A64 ROUNDABOUT,91.11,Good (90-94),Huntington & New Earswick Ward
ROAD A1237 FROM CLIFTON MOORGATE ROUNDABOUT UP TO AND INCLUDING WIGGINTON ROAD ROUNDABOUT,92.16,Good (90-94),Huntington & New Earswick Ward
ROAD A1237 FROM HAXBY ROAD ROUNDABOUT UP TO AND INCLUDING STRENSALL ROAD ROUNDABOUT,89.75,Fair (75-89),Huntington & New Earswick Ward
ROAD A1237 FROM NORTH LANE ROUNDABOUT TO A1036 ROUNDABOUT,97.62,Excellent (95-100),Huntington & New Earswick Ward
ROAD A1237 FROM STRENSALL ROAD ROUNDABOUT UP TO AND INCLUDING NORTH LANE ROUNDABOUT,91.11,Good (90-94),Huntington & New Earswick Ward
ROAD A1237 FROM WIGGINTON ROAD ROUNDABOUT UP TO AND INCLUDING HAXBY ROAD ROUNDABOUT,90.47,Good (90-94),Huntington & New Earswick Ward
ROLAND COURT,80.73,Fair (75-89),Huntington & New Earswick Ward
ROLSTON AVENUE,82.53,Fair (75-89),Huntington & New Earswick Ward
ROSE TREE GROVE,88.76,Fair (75-89),Huntington & New Earswick Ward
ROWAN AVENUE,89.09,Fair (75-89),Huntington & New Earswick Ward
ROWAN PLACE,86.51,Fair (75-89),Huntington & New Earswick Ward
ROYAL AVENUE,71.79,Poor (<75),Huntington & New Earswick Ward
RYEHILL CLOSE,89.76,Fair (75-89),Huntington & New Earswick Ward
SADDLERS CLOSE,81.24,Fair (75-89),Huntington & New Earswick Ward
SCAWTON AVENUE,67.08,Poor (<75),Huntington & New Earswick Ward
SHERWOOD GROVE,77.98,Fair (75-89),Huntington & New Earswick Ward
SKEWSBY GROVE,52.02,Poor (<75),Huntington & New Earswick Ward
SMITHIE CLOSE,94.77,Good (90-94),Huntington & New Earswick Ward
SOUTHDOWN ROAD,53.66,Poor (<75),Huntington & New Earswick Ward
SPRUCE CLOSE,76.87,Fair (75-89),Huntington & New Earswick Ward
STATION AVENUE,77.61,Fair (75-89),Huntington & New Earswick Ward
STEPHENSON CLOSE,85.84,Fair (75-89),Huntington & New Earswick Ward
STOW COURT,83.66,Fair (75-89),Huntington & New Earswick Ward
STRATFORD WAY,92.15,Good (90-94),Huntington & New Earswick Ward
STRENSALL ROAD,78.61,Fair (75-89),Huntington & New Earswick Ward
THE OLD VILLAGE,71.29,Poor (<75),Huntington & New Earswick Ward
THERESA CLOSE,72.90,Poor (<75),Huntington & New Earswick Ward
THORNFIELD DRIVE,85.42,Fair (75-89),Huntington & New Earswick Ward
TOREMILL CLOSE,96.32,Excellent (95-100),Huntington & New Earswick Ward
TRENT AVENUE,56.36,Poor (<75),Huntington & New Earswick Ward
VESPER WALK,91.35,Good (90-94),Huntington & New Earswick Ward
VICTORIA WAY,92.68,Good (90-94),Huntington & New Earswick Ward
WATERDALE PARK,89.31,Fair (75-89),Huntington & New Earswick Ward
WHENBY GROVE,61.75,Poor (<75),Huntington & New Earswick Ward
WHITE HORSE CLOSE,92.04,Good (90-94),Huntington & New Earswick Ward
WHITE ROSE AVENUE,80.86,Fair (75-89),Huntington & New Earswick Ward
WHITESTONE DRIVE,79.48,Fair (75-89),Huntington & New Earswick Ward
WHITETHORN CLOSE,88.12,Fair (75-89),Huntington & New Earswick Ward
WIGGINTON ROAD,83.41,Fair (75-89),Huntington & New Earswick Ward
WILLOW BANK,60.34,Poor (<75),Huntington & New Earswick Ward
WILLOW GLADE,82.39,Fair (75-89),Huntington & New Earswick Ward
WITHAM DRIVE,86.25,Fair (75-89),Huntington & New Earswick Ward
WOOD WAY,39.77,Poor (<75),Huntington & New Earswick Ward
WOODLAND PLACE,44.39,Poor (<75),Huntington & New Earswick Ward
WOODLAND WAY,61.10,Poor (<75),Huntington & New Earswick Ward
YEARSLEY GROVE,12.81,Poor (<75),Huntington & New Earswick Ward
YORK ROAD,91.65,Good (90-94),Huntington & New Earswick Ward
ADELAIDE STREET,51.94,Poor (<75),Micklegate Ward
ALBEMARLE ROAD,70.50,Poor (<75),Micklegate Ward
ALCELINA COURT,46.62,Poor (<75),Micklegate Ward
ALDRETH GROVE,24.62,Poor (<75),Micklegate Ward
ANCRESS WALK,18.68,Poor (<75),Micklegate Ward
ANNE STREET,63.15,Poor (<75),Micklegate Ward
ARGYLE STREET,37.53,Poor (<75),Micklegate Ward
BACK LANE BETWEEN 39 TO 105 ALBEMARLE ROAD,55.74,Poor (<75),Micklegate Ward
BACK LANE BETWEEN SUTHERLAND STREET AND JAMIESON TERRACE,82.56,Fair (75-89),Micklegate Ward
BAILE HILL TERRACE,62.99,Poor (<75),Micklegate Ward
BALMORAL TERRACE,30.10,Poor (<75),Micklegate Ward
BAR LANE,73.55,Poor (<75),Micklegate Ward
BARKER LANE,18.69,Poor (<75),Micklegate Ward
BERESFORD TERRACE,53.34,Poor (<75),Micklegate Ward
BEWLAY STREET,31.53,Poor (<75),Micklegate Ward
BISHOPGATE STREET,95.81,Excellent (95-100),Micklegate Ward
BISHOPHILL JUNIOR,88.18,Fair (75-89),Micklegate Ward
BISHOPHILL SENIOR,88.06,Fair (75-89),Micklegate Ward
BISHOPTHORPE ROAD,78.45,Fair (75-89),Micklegate Ward
BLOSSOM STREET,79.73,Fair (75-89),Micklegate Ward
BRACKEN ROAD,97.56,Excellent (95-100),Micklegate Ward
BRIDGE STREET,92.44,Good (90-94),Micklegate Ward
BRUNSWICK STREET,32.69,Poor (<75),Micklegate Ward
BUCKINGHAM STREET,74.47,Poor (<75),Micklegate Ward
BUTCHER TERRACE,66.99,Poor (<75),Micklegate Ward
CAMBRIDGE STREET,95.62,Excellent (95-100),Micklegate Ward
CAMERON GROVE,70.23,Poor (<75),Micklegate Ward
CAMPLESHON ROAD,51.55,Poor (<75),Micklegate Ward
CAMPLESHON ROAD,61.61,Poor (<75),Micklegate Ward
CHARLTON STREET,78.04,Fair (75-89),Micklegate Ward
CHERRY HILL LANE,15.13,Poor (<75),Micklegate Ward
CHERRY STREET,32.98,Poor (<75),Micklegate Ward
CLEMENT STREET,17.10,Poor (<75),Micklegate Ward
CLEMENTHORPE,48.02,Poor (<75),Micklegate Ward
COGGAN CLOSE,37.57,Poor (<75),Micklegate Ward
COLENSO STREET,44.90,Poor (<75),Micklegate Ward
COUNT DE BURGH TERRACE,95.03,Excellent (95-100),Micklegate Ward
CROMWELL ROAD,57.89,Poor (<75),Micklegate Ward
CURZON TERRACE,59.78,Poor (<75),Micklegate Ward
CUSTANCE WALK,76.02,Fair (75-89),Micklegate Ward
CYGNET STREET,23.41,Poor (<75),Micklegate Ward
DALE STREET,77.37,Fair (75-89),Micklegate Ward
DALTON TERRACE,69.32,Poor (<75),Micklegate Ward
DARNBOROUGH STREET,54.85,Poor (<75),Micklegate Ward
DEWSBURY TERRACE,49.49,Poor (<75),Micklegate Ward
DOVE STREET,45.81,Poor (<75),Micklegate Ward
DRAKE STREET,11.38,Poor (<75),Micklegate Ward
DRIFFIELD TERRACE,37.68,Poor (<75),Micklegate Ward
EAST MOUNT ROAD,35.10,Poor (<75),Micklegate Ward
EBOR STREET,48.11,Poor (<75),Micklegate Ward
FAIRFAX STREET,92.66,Good (90-94),Micklegate Ward
FALKLAND STREET,55.89,Poor (<75),Micklegate Ward
FENWICK STREET,64.93,Poor (<75),Micklegate Ward
FETTER LANE,97.11,Excellent (95-100),Micklegate Ward
FINSBURY AVENUE,51.15,Poor (<75),Micklegate Ward
FINSBURY STREET,90.83,Good (90-94),Micklegate Ward
FOOTPATH FROM ADJACENT 4 EBOR STREET TO REAR OF 6 BISHOPTHORPE ROAD,33.46,Poor (<75),Micklegate Ward
FOOTPATH FROM ANCRESS WALK TO DOVE STREET,95.13,Excellent (95-100),Micklegate Ward
FOOTPATH FROM VINE STREET TO ANNE STREET,77.32,Fair (75-89),Micklegate Ward
GEORGE HUDSON STREET,94.75,Good (90-94),Micklegate Ward
GRAY STREET,64.88,Poor (<75),Micklegate Ward
HAMPDEN STREET,89.19,Fair (75-89),Micklegate Ward
HOLGATE ROAD,74.83,Poor (<75),Micklegate Ward
HUBERT STREET,10.16,Poor (<75),Micklegate Ward
